     nid  x  y  z  tc  rc
     486       -1.902478        161.5338            0.01       0       0
     487       -1.274116         161.562            0.01       0       0
     488       -0.660996        161.5896            0.01       0       0
     489       -0.005697         161.619            0.01       0       0
     490        0.649341        161.5893            0.01       0       0
     491        1.262448        161.5616            0.01       0       0
     492          1.8908        161.5331            0.01       0       0
     493       -2.232773        162.6556            0.01       0       0
     494       -1.515695        162.7127            0.01       0       0
     495        -0.78668        162.7505            0.01       0       0
     496        -0.00547        162.7451            0.01       0       0
     497        0.775449        162.7502            0.01       0       0
     498        1.504449        162.7122            0.01       0       0
     499        2.221507        162.6548            0.01       0       0
     500        -2.68512        164.2204            0.01       0       0
     501       -1.838377        164.3134            0.01       0       0
     502       -0.963915        164.3769            0.01       0       0
     503       -0.005143        164.3713            0.01       0       0
     504        0.953281        164.3766            0.01       0       0
     505        1.827721        164.3127            0.01       0       0
     506        2.674429        164.2195            0.01       0       0
     507         -3.1367        165.7856            0.01       0       0
     508       -2.159889        165.9147            0.01       0       0
     509       -1.140956        166.0032            0.01       0       0
     510       -0.004816        165.9974            0.01       0       0
     511         1.13092        166.0027            0.01       0       0
     512        2.149822        165.9139            0.01       0       0
     513        3.126586        165.7844            0.01       0       0
     514       -3.606501        167.3456            0.01       0       0
     515       -2.433937        167.5265            0.01       0       0
     516       -1.318751        167.6295            0.01       0       0
     517       -0.004488        167.6236            0.01       0       0
     518        1.309314         167.629            0.01       0       0
     519        2.424462        167.5256            0.01       0       0
     520        3.596959        167.3443            0.01       0       0
     521       -4.048584        168.9133            0.01       0       0
     522       -2.754791        169.1279            0.01       0       0
     523       -1.495691        169.2558            0.01       0       0
     524       -0.004162        169.2496            0.01       0       0
     525         1.48685        169.2552            0.01       0       0
     526        2.745903        169.1269            0.01       0       0
     527        4.039618        168.9118            0.01       0       0
     528       -4.509761        170.6017            0.01       0       0
     529       -3.370612        170.7484            0.01       0       0
     530       -1.619412        170.5667            0.01       0       0
     531       -0.003923        170.4327            0.01       0       0
     532        1.611053        170.5661            0.01       0       0
     533        3.362322        170.7471            0.01       0       0
     534        4.501417           170.6            0.01       0       0
     535       -4.313931        171.3256            0.01       0       0
     536        -3.85371        171.5895            0.01       0       0
     537       -3.393491        171.8534            0.01       0       0
     538       -2.669867        171.6574            0.01       0       0
     539       -1.443375        171.7487            0.01       0       0
     540       -0.003627        171.9006            0.01       0       0
     541        1.435451        171.7482            0.01       0       0
     542         2.66191        171.6564            0.01       0       0
     543        3.385606        171.8521            0.01       0       0
     544        3.845728        171.5881            0.01       0       0
     545        4.305852         171.324            0.01       0       0
     546       -5.418105         171.303            0.01       0       0
     547       -4.577324        171.7856            0.01       0       0
     548       -4.117103        172.0495            0.01       0       0
     549       -3.657881        172.3134            0.01       0       0
     550       -2.816104         172.796            0.01       0       0
     551       -1.404357         173.608            0.01       0       0
     552       -0.003217        173.9381            0.01       0       0
     553        1.397116        173.6075            0.01       0       0
     554        2.808566        172.7949            0.01       0       0
     555        3.650164        172.3121            0.01       0       0
     556        4.109291         172.048            0.01       0       0
     557        4.569413        171.7839            0.01       0       0
     558        5.410018         171.301            0.01       0       0
     559       -4.841715        172.2457            0.01       0       0
     560       -4.381494        172.5095            0.01       0       0
     561       -3.921371        172.7734            0.01       0       0
     562        3.913825         172.772            0.01       0       0
     563        4.373849        172.5079            0.01       0       0
