     nid  x  y  z  tc  rc
     433       -1.257571       -62.69664         251.375       0       0
     434    4.800000e-05        -62.4897         251.375       0       0
     435        1.257545       -62.69673         251.375       0       0
     436       -1.574209       -60.90504         251.375       0       0
     437    1.240000e-04       -60.49669         251.375       0       0
     438         1.57431       -60.90516         251.375       0       0
     439       -1.834738       -59.09563         251.375       0       0
     440    1.890000e-04       -58.50371         251.375       0       0
     441        1.834969       -59.09577         251.375       0       0
     442       -2.022175       -57.28462         251.375       0       0
     443    2.620000e-04       -56.51089         251.375       0       0
     444        2.022534       -57.28476         251.375       0       0
     445       -2.136433       -55.52761         251.375       0       0
     446    2.990000e-04        -54.5177         251.375       0       0
     447        2.136918       -55.52777         251.375       0       0
     448       -2.245459       -53.85562         251.375       0       0
     449    3.730000e-04        -52.5247         251.375       0       0
     450        2.246061       -53.85578         251.375       0       0
     451       -2.415712       -52.23831         251.375       0       0
     452       -4.583254       -51.56633         251.375       0       0
     453       -6.701697       -50.90957         251.375       0       0
     454        2.416431       -52.23848         251.375       0       0
     455        4.584022       -51.56665         251.375       0       0
     456         6.70251       -50.91005         251.375       0       0
     457       -6.473797       -49.17443         251.375       0       0
     458       -3.236635       -49.85261         251.375       0       0
     459    4.490000e-04       -50.53171         251.375       0       0
     460        3.237523       -49.85283         251.375       0       0
     461        6.474732       -49.17488         251.375       0       0
     462       -6.193274       -47.04593         251.375       0       0
     463       -3.103054       -47.35018         251.375       0       0
     464    5.500000e-04       -47.45171         251.375       0       0
     465         3.10412       -47.35041         251.375       0       0
     466        6.194362       -47.04635         251.375       0       0
     467       -5.532121       -42.02138         251.375       0       0
     468       -2.767864       -42.23459         251.375       0       0
     469    7.330000e-04       -42.31969         251.375       0       0
     470        2.769293       -42.23479         251.375       0       0
     471        5.533566       -42.02178         251.375       0       0
     472       -4.870121       -36.99751         251.375       0       0
     473       -2.436601       -37.18361         251.375       0       0
     474    8.920000e-04       -37.25767         251.375       0       0
     475        2.438389       -37.18378         251.375       0       0
     476        4.871922       -36.99786         251.375       0       0
