   nid   x   y   z tc  rc
     10078          -1.863           12.36           -10.0       0       0
   10079         -0.9341          12.465           -10.0       0       0
   10080             0.0            12.5           -10.0       0       0
   10081         0.93413          12.465           -10.0       0       0
   10082           1.863           12.36           -10.0       0       0
   10083          -2.394          15.883           -10.0       0       0
   10084          -1.198         15.9891           -10.0       0       0
   10085             0.0          16.062           -10.0       0       0
   10086          1.1982         15.9891           -10.0       0       0
   10087          2.3939          15.883           -10.0       0       0
   10088          -2.925         19.4051           -10.0       0       0
   10089          -1.464          19.533           -10.0       0       0
   10090             0.0          19.624           -10.0       0       0
   10091          1.4638          19.533           -10.0       0       0
   10092          2.9248         19.4051           -10.0       0       0
   10093          -3.456          22.927           -10.0       0       0
   10094          -1.729          23.078           -10.0       0       0
   10095             0.0          23.186           -10.0       0       0
   10096          1.7294          23.078           -10.0       0       0
   10097          3.4558          22.927           -10.0       0       0
   10098          -3.987           26.45           -10.0       0       0
   10099          -1.995          26.623           -10.0       0       0
   10100             0.0          26.749           -10.0       0       0
   10101          1.9951          26.623           -10.0       0       0
   10102          3.9867           26.45           -10.0       0       0
   10103          -4.518          29.972           -10.0       0       0
   10104          -2.261          30.168           -10.0       0       0
   10105             0.0          30.311           -10.0       0       0
   10106          2.2607          30.168           -10.0       0       0
   10107          4.5176          29.972           -10.0       0       0
   10108          -5.048          33.495           -10.0       0       0
   10109          -2.526          33.713           -10.0       0       0
   10110             0.0          33.873           -10.0       0       0
   10111          2.5264          33.713           -10.0       0       0
   10112          5.0485          33.495           -10.0       0       0
   10113          -5.579          37.017           -10.0       0       0
   10114          -2.792          37.261           -10.0       0       0
   10115             0.0          37.435           -10.0       0       0
   10116          2.7923          37.261           -10.0       0       0
   10117          5.5794          37.017           -10.0       0       0
   10118           -6.11          40.539           -10.0       0       0
   10119          -3.062          40.863           -10.0       0       0
   10120             0.0          40.997           -10.0       0       0
   10121          3.0622          40.863           -10.0       0       0
   10122          6.1103          40.539           -10.0       0       0
   10123          -4.632          41.889           -10.0       0       0
   10124          -3.091          42.021           -10.0       0       0
   10125           -1.59          42.331           -10.0       0       0
   10126            1.59          42.331           -10.0       0       0
   10127          3.0912          42.021           -10.0       0       0
   10128           4.632          41.889           -10.0       0       0
   10129          -6.425           42.63           -10.0       0       0
   10130          -4.819         42.9917           -10.0       0       0
   10131          -3.213          43.353           -10.0       0       0
   10132          -1.606          43.715           -10.0       0       0
   10133             0.0          44.077           -10.0       0       0
   10134          1.6064          43.715           -10.0       0       0
   10135          3.2127          43.353           -10.0       0       0
   10136          4.8191         42.9917           -10.0       0       0
   10137          6.4254           42.63           -10.0       0       0
   10138          -6.612          43.866           -10.0       0       0
   10139          -5.494         44.2297           -10.0       0       0
   10140          -4.377         44.5934           -10.0       0       0
   10141          -3.259          44.957           -10.0       0       0
   10142          -2.141          45.321           -10.0       0       0
   10143          2.1415          45.321           -10.0       0       0
   10144          3.2213          44.871           -10.0       0       0
   10145          4.3275          44.474           -10.0       0       0
   10146           5.461          44.146           -10.0       0       0
   10147          6.6117          43.866           -10.0       0       0
   10148          -6.798          45.102           -10.0       0       0
   10149          -6.085         45.2406           -10.0       0       0
   10150          -5.417          45.521           -10.0       0       0
   10151          -4.827          45.943           -10.0       0       0
   10152          -4.283          46.565           -10.0       0       0
   10153          4.2831          46.565           -10.0       0       0
   10154           4.832          45.948           -10.0       0       0
   10155          5.4223          45.533           -10.0       0       0
   10156            6.09         45.2527           -10.0       0       0
   10157           6.798          45.102           -10.0       0       0
   10158          -6.947          46.091           -10.0       0       0
   10159          -6.664          46.132           -10.0       0       0
   10160           -6.08          46.301           -10.0       0       0
   10161          -5.565          46.624           -10.0       0       0
   10162          -5.149          47.068           -10.0       0       0
   10163          5.1176          47.113           -10.0       0       0
   10164          5.4594          46.717           -10.0       0       0
   10165          6.0163          46.331           -10.0       0       0
   10166          6.6644          46.132           -10.0       0       0
   10167          6.9471          46.091           -10.0       0       0
   10168          -4.813          47.689           -10.0       0       0
   10169          -3.883         47.3247           -10.0       0       0
   10170          -1.967          46.208           -10.0       0       0
   10171             0.0          45.071           -10.0       0       0
   10172          1.9691          46.209           -10.0       0       0
   10173          3.8899          47.327           -10.0       0       0
   10174          4.7991          47.726           -10.0       0       0
   10175          -4.632          48.335           -10.0       0       0
   10176          -3.653          48.153           -10.0       0       0
   10177          -1.848          47.114           -10.0       0       0
   10178             0.0          46.065           -10.0       0       0
   10179            1.85          47.114           -10.0       0       0
   10180          3.6598          48.154           -10.0       0       0
   10181           4.627          48.361           -10.0       0       0
   10182          -4.549           49.32           -10.0       0       0
   10183           -3.56          49.003           -10.0       0       0
   10184          -1.786          48.035           -10.0       0       0
   10185             0.0           47.06           -10.0       0       0
   10186          1.7848          48.034           -10.0       0       0
   10187          3.5599          49.008           -10.0       0       0
   10188           4.549           49.32           -10.0       0       0
   10189          -4.517          49.958           -10.0       0       0
   10190            -3.5          49.866           -10.0       0       0
   10191          -1.743          48.959           -10.0       0       0
   10192             0.0          48.054           -10.0       0       0
   10193          1.7393          48.959           -10.0       0       0
   10194          3.4869          49.864           -10.0       0       0
   10195           4.513          50.002           -10.0       0       0
   10196          -4.388          50.895           -10.0       0       0
   10197          -3.393          50.718           -10.0       0       0
   10198          -1.685          49.882           -10.0       0       0
   10199             0.0          49.048           -10.0       0       0
   10200          1.6812          49.881           -10.0       0       0
   10201          3.3887          50.718           -10.0       0       0
   10202          4.3882          50.895           -10.0       0       0
   10203          -4.197          51.798           -10.0       0       0
   10204          -3.213           51.56           -10.0       0       0
   10205          -1.599            50.8           -10.0       0       0
   10206             0.0         50.0426           -10.0       0       0
   10207          1.5939         50.7977           -10.0       0       0
   10208          3.2009          51.555           -10.0       0       0
   10209          4.2161          51.719           -10.0       0       0
   10210          -3.958          52.679           -10.0       0       0
   10211          -2.992          52.391           -10.0       0       0
   10212          -1.489          51.712           -10.0       0       0
   10213             0.0          51.037           -10.0       0       0
   10214          1.4784          51.708           -10.0       0       0
   10215           2.979          52.385           -10.0       0       0
   10216          3.9579          52.677           -10.0       0       0
   10217          -3.678           53.54           -10.0       0       0
   10218          -2.728           53.21           -10.0       0       0
   10219          -1.358          52.619           -10.0       0       0
   10220             0.0          52.031           -10.0       0       0
   10221          1.3394          52.611           -10.0       0       0
   10222          2.6804          53.192           -10.0       0       0
   10223          3.6783         53.5394           -10.0       0       0
   10224          -3.363          54.385           -10.0       0       0
   10225          -2.431          54.018           -10.0       0       0
   10226          -1.209           53.52           -10.0       0       0
   10227             0.0          53.025           -10.0       0       0
   10228          1.1905          53.512           -10.0       0       0
   10229          2.3819          53.998           -10.0       0       0
   10230          3.3631          54.385           -10.0       0       0
   10231          -3.055          55.127           -10.0       0       0
   10232          -2.095          54.811           -10.0       0       0
   10233          -1.044          54.414           -10.0       0       0
   10234             0.0           54.02           -10.0       0       0
   10235          1.0356         54.4098           -10.0       0       0
   10236          2.0834          54.804           -10.0       0       0
   10237           3.017          55.214           -10.0       0       0
   10238          -2.672          55.966           -10.0       0       0
   10239          -1.741          55.595           -10.0       0       0
   10240         -0.8659          55.303           -10.0       0       0
   10241             0.0          55.014           -10.0       0       0
   10242         0.87046          55.303           -10.0       0       0
   10243          1.7418         55.5925           -10.0       0       0
   10244           2.643         56.0259           -10.0       0       0
   10245          -2.277          56.757           -10.0       0       0
   10246          -1.321          56.409           -10.0       0       0
   10247         -0.6895          56.191           -10.0       0       0
   10248             0.0          56.008           -10.0       0       0
   10249         0.70491          56.197           -10.0       0       0
   10250           1.397          56.379           -10.0       0       0
   10251          2.2442          56.821           -10.0       0       0
   10252          -1.842         57.5637           -10.0       0       0
   10253          -1.069          57.174           -10.0       0       0
   10254          -0.537           57.09           -10.0       0       0
   10255             0.0         57.0026           -10.0       0       0
   10256         0.54969          57.095           -10.0       0       0
   10257          1.0985          57.185           -10.0       0       0
   10258           1.826         57.5932           -10.0       0       0
   10259          -1.608          57.975           -10.0       0       0
   10260            -0.8          57.991           -10.0       0       0
   10261            -0.4         57.9955           -10.0       0       0
   10262             0.0          57.997           -10.0       0       0
   10263         0.40002         57.9955           -10.0       0       0
   10264         0.80002          57.991           -10.0       0       0
   10265          1.6083          57.975           -10.0       0       0
